year,state,total_pledges,,,,,,
2016,Johor,4397,,,,,,
2016,Kedah,1473,,,,,,
2016,Kelantan,739,,,,,,
2016,Melaka,1241,,,,,,
2016,Negeri Sembilan,1506,,,,,,
2016,Pahang,1021,,,,,,
2016,Perak,2676,,,,,,
2016,Perlis,102,,,,,,
2016,Pulau Pinang,1893,,,,,,
2016,Sabah,2940,,,,,,
2016,Sarawak,1800,,,,,,
2016,Selangor,7999,,,,,,
2016,Terengganu,1985,,,,,,
2016,Kuala Lumpur,4369,,,,,,
2016,Labuan,248,,,,,,
2016,Putrajaya,279,,,,,,
2017,Johor,4269,,,,,,
2017,Kedah,1063,,,,,,
2017,Kelantan,1454,,,,,,
2017,Melaka,839,,,,,,
2017,Negeri Sembilan,1950,,,,,,
2017,Pahang,1527,,,,,,
2017,Perak,3195,,,,,,
2017,Perlis,106,,,,,,
2017,Pulau Pinang,1831,,,,,,
2017,Sabah,2072,,,,,,
2017,Sarawak,975,,,,,,
2017,Selangor,6573,,,,,,
2017,Terengganu,535,,,,,,
2017,Kuala Lumpur,3813,,,,,,
2017,Labuan,201,,,,,,
2017,Putrajaya,206,,,,,,
2018,Johor,3074,,,,,,
2018,Kedah,1252,,,,,,
2018,Kelantan,3074,,,,,,
2018,Melaka,1252,,,,,,
2018,Negeri Sembilan,233,,,,,,
2018,Pahang,339,,,,,,
2018,Perak,858,,,,,,
2018,Perlis,1020,,,,,,
2018,Pulau Pinang,1182,,,,,,
2018,Sabah,167,,,,,,
2018,Sarawak,1113,,,,,,
2018,Selangor,2308,,,,,,
2018,Terengganu,461,,,,,,
2018,Kuala Lumpur,4896,,,,,,
2018,Labuan,239,,,,,,
2018,Putrajaya,2963,,,,,,
2019,Johor,54,,,,,,
2019,Kedah,126,,,,,,
2019,Kelantan,3037,,,,,,
2019,Melaka,311,,,,,,
2019,Negeri Sembilan,,,,,,,
2019,Pahang,,,,,,,
2019,Perak,,,,,,,
2019,Perlis,,,,,,,
2019,Pulau Pinang,,,,,,,
2019,Sabah,,,,,,,
2019,Sarawak,,,,,,,
2019,Selangor,,,,,,,
2019,Terengganu,,,,,,,
2019,Kuala Lumpur,,,,,,,
2019,Labuan,,,,,,,
2019,Putrajaya,,,,,,,
2020,Johor,,,,,,,
2020,Kedah,,,,,,,
2020,Kelantan,,,,,,,
2020,Melaka,,,,,,,
2020,Negeri Sembilan,,,,,,,
2020,Pahang,,,,,,,
2020,Perak,,,,,,,
2020,Perlis,,,,,,,
2020,Pulau Pinang,,,,,,,
2020,Sabah,,,,,,,
2020,Sarawak,,,,,,,
2020,Selangor,,,,,,,
2020,Terengganu,,,,,,,
2020,Kuala Lumpur,,,,,,,
2020,Labuan,,,,,,,
2020,Putrajaya,,,,,,,
2021,Johor,,,,,,,
2021,Kedah,,,,,,,
2021,Kelantan,,,,,,,
2021,Melaka,,,,,,,
2021,Negeri Sembilan,,,,,,,
2021,Pahang,,,,,,,
2021,Perak,,,,,,,
2021,Perlis,,,,,,,
2021,Pulau Pinang,,,,,,,
2021,Sabah,,,,,,,
2021,Sarawak,,,,,,,
2021,Selangor,,,,,,,
2021,Terengganu,,,,,,,
2021,Kuala Lumpur,,,,,,,
2021,Labuan,,,,,,,
2021,Putrajaya,,,,,,,
2022,Johor,,,,,,,
2022,Kedah,,,,,,,
2022,Kelantan,,,,,,,
2022,Melaka,,,,,,,
2022,Negeri Sembilan,,,,,,,
2022,Pahang,,,,,,,
2022,Perak,,,,,,,
2022,Perlis,,,,,,,
2022,Pulau Pinang,,,,,,,
2022,Sabah,,,,,,,
2022,Sarawak,,,,,,,
2022,Selangor,,,,,,,
2022,Terengganu,,,,,,,
2022,Kuala Lumpur,,,,,,,
2022,Labuan,,,,,,,
2022,Putrajaya,,,,,,,